card_id,corpus_id,review_id,cohort,rating,unit_index,source_span,card_text,card_role,evidence_specificity,evidence_scope,cluster_candidate,cluster_candidate_name,cluster_tie,special_flag,review_status
OCR017,CUR009,20071773-0802-4d17-b2ff-1f283d43616a,other_recent_months,1,1,소셜링에서 2차 요금을 호스트 개인계좌로 받는일이 많음 그게 불법임 그런경우를 몇번 목격해서 계좌이체내역 캡쳐해서 고객센터에 신고했음 그랬는데 자세한 내역을 보내라고 함 아니 뭐 소셜링 끝날때쯤에 몰래 영상이나 녹음이라도 해야됨?,소셜링에서 2차 요금을 호스트 개인계좌로 받는일이 많음 그게 불법임 그런경우를 몇번 목격해서 계좌이체내역 캡쳐해서 고객센터에 신고했음 그랬는데 자세한 내역을 보내라고 함 아니 뭐 소셜링 끝날때쯤에 몰래 영상이나 녹음이라도 해야됨?,behavior,high,firsthand_or_direct_claim,P02,취소·환불·문의 해결,Y,,first_pass_unverified
OCR021,CUR011,d42e4ae1-c8dc-451e-8162-58759d03eaff,other_recent_months,1,1,"악의 적인 사용자는 전혀 필터링 하지 못하는 무능력한 운영, 여러 모임을 돌아다니며 악의적인 리뷰를 남기는 참여자에 대한 제제는 없고 오롯이 소셜링 호스트에게만 책임 전가하는 무능력하고 문제해결을 할 의지도 없는 집단","악의 적인 사용자는 전혀 필터링 하지 못하는 무능력한 운영, 여러 모임을 돌아다니며 악의적인 리뷰를 남기는 참여자에 대한 제제는 없고 오롯이 소셜링 호스트에게만 책임 전가하는 무능력하고 문제해결을 할 의지도 없는 집단",problem|behavior,high,firsthand_or_direct_claim,P03,규칙·제재·신뢰,Y,,first_pass_unverified
OCR058,CUR024,48d4a9ba-bd57-4d4d-9776-85723cea3d9d,april_2026_burst,5,4,오늘도 평화로운 문토ㅋㅋ 저는 이제 한강 갑니둥~,오늘도 평화로운 문토ㅋㅋ 저는 이제 한강 갑니둥~,perception,low,firsthand_or_direct_claim,U00,미분류,Y,april_2026_burst,first_pass_unverified
OCR072,CUR031,a2cfbaf6-50a8-4237-af41-88374c7ce6d8,april_2026_burst,5,2,"그 당시는 이러한 앱 자체가 낮설었으나, 지금 생각하면 저 멀리 그래도 한 때의 메모장처럼 느껴진듯한 존재.","그 당시는 이러한 앱 자체가 낮설었으나, 지금 생각하면 저 멀리 그래도 한 때의 메모장처럼 느껴진듯한 존재.",perception,medium,perception,U00,미분류,Y,april_2026_burst,first_pass_unverified
OCR073,CUR031,a2cfbaf6-50a8-4237-af41-88374c7ce6d8,april_2026_burst,5,3,어떻게 사용하느냐에 따라 달라지는 앱인거 같아요~,어떻게 사용하느냐에 따라 달라지는 앱인거 같아요~,behavior,medium,firsthand_or_direct_claim,U00,미분류,Y,april_2026_burst,first_pass_unverified
OCR082,CUR034,3a105847-12a5-4421-855f-03b131b5303d,april_2026_burst,5,3,사업 계속 승승장구하고 번창하세요옷♡♡♡,사업 계속 승승장구하고 번창하세요옷♡♡♡,outcome,medium,firsthand_or_direct_claim,U00,미분류,Y,april_2026_burst,first_pass_unverified
OCR097,CUR041,838e5f50-0fc0-40f1-a244-af08f84fd4b0,april_2026_burst,5,2,문토 관계자분들 문토라는 어플 만들어주셔서 진심으로 감사드립니다 🙂,문토 관계자분들 문토라는 어플 만들어주셔서 진심으로 감사드립니다 🙂,value|behavior,medium,firsthand_or_direct_claim,U00,미분류,Y,april_2026_burst,first_pass_unverified
OCR127,CUR057,7db89d06-fbfc-4a77-9257-7c1e53f2c097,other_recent_months,3,1,잘 사용하다가 갑자기 요즘 소셜링 알람이 안뜸.,잘 사용하다가 갑자기 요즘 소셜링 알람이 안뜸.,behavior,medium,firsthand_or_direct_claim,U00,미분류,Y,,first_pass_unverified
OCR128,CUR057,7db89d06-fbfc-4a77-9257-7c1e53f2c097,other_recent_months,3,2,알람 설정 확인해봤고 앱 재설치도 해봤는데 효과없음.,알람 설정 확인해봤고 앱 재설치도 해봤는데 효과없음.,problem|behavior,medium,firsthand_or_direct_claim,U00,미분류,Y,,first_pass_unverified
OCR134,CUR058,02ade739-1735-4cff-92d5-faf94155b012,other_recent_months,1,5,본인들이 소셜링을 열고 사람들이 다 시간 빼고 스케줄 빼고 그날 비웠는데 당일에 말만 전하고 노쇼하는 '호스트' 들이 너무 많습니다.,본인들이 소셜링을 열고 사람들이 다 시간 빼고 스케줄 빼고 그날 비웠는데 당일에 말만 전하고 노쇼하는 '호스트' 들이 너무 많습니다.,problem,medium,hearsay_or_collective_claim,P02,취소·환불·문의 해결,Y,,first_pass_unverified
