topic_key,topic_label,period,all_review_count,all_topic_count,all_topic_share,low_review_count,low_topic_count,low_topic_share,high_review_count,high_topic_count,high_topic_share,coding_note
dating_meeting,소개팅·만남 관련,early_2021_2022,724,3,0.0041,165,2,0.0121,559,1,0.0018,소개팅 기능의 단순 오류나 긍정 경험도 포함하는 넓은 탐색 규칙
dating_meeting,소개팅·만남 관련,middle_2023_2024,327,8,0.0245,100,6,0.06,227,2,0.0088,소개팅 기능의 단순 오류나 긍정 경험도 포함하는 넓은 탐색 규칙
dating_meeting,소개팅·만남 관련,recent_2025_2026,149,18,0.1208,76,13,0.1711,73,5,0.0685,소개팅 기능의 단순 오류나 긍정 경험도 포함하는 넓은 탐색 규칙
identity_shift,취미→소개팅 정체성 변화,early_2021_2022,724,1,0.0014,165,1,0.0061,559,0,0.0,취미 서비스가 소개팅 중심으로 변했다는 직접 표현에 가까운 고정밀 규칙
identity_shift,취미→소개팅 정체성 변화,middle_2023_2024,327,6,0.0183,100,4,0.04,227,2,0.0088,취미 서비스가 소개팅 중심으로 변했다는 직접 표현에 가까운 고정밀 규칙
identity_shift,취미→소개팅 정체성 변화,recent_2025_2026,149,7,0.047,76,6,0.0789,73,1,0.0137,취미 서비스가 소개팅 중심으로 변했다는 직접 표현에 가까운 고정밀 규칙
alcohol_party,술·파티,early_2021_2022,724,0,0.0,165,0,0.0,559,0,0.0,술·파티형 상품의 명시적 언급
alcohol_party,술·파티,middle_2023_2024,327,1,0.0031,100,0,0.0,227,1,0.0044,술·파티형 상품의 명시적 언급
alcohol_party,술·파티,recent_2025_2026,149,7,0.047,76,6,0.0789,73,1,0.0137,술·파티형 상품의 명시적 언급
discovery_supply,탐색·공급 부족,early_2021_2022,724,11,0.0152,165,4,0.0242,559,7,0.0125,"모임 공급 부족, 필터 실패, 원하는 모임 발견 곤란"
discovery_supply,탐색·공급 부족,middle_2023_2024,327,6,0.0183,100,3,0.03,227,3,0.0132,"모임 공급 부족, 필터 실패, 원하는 모임 발견 곤란"
discovery_supply,탐색·공급 부족,recent_2025_2026,149,10,0.0671,76,7,0.0921,73,3,0.0411,"모임 공급 부족, 필터 실패, 원하는 모임 발견 곤란"
commercialization_cost,상업화·비용,early_2021_2022,724,2,0.0028,165,1,0.0061,559,1,0.0018,플랫폼·호스트 수익화와 가격 부담
commercialization_cost,상업화·비용,middle_2023_2024,327,13,0.0398,100,12,0.12,227,1,0.0044,플랫폼·호스트 수익화와 가격 부담
commercialization_cost,상업화·비용,recent_2025_2026,149,13,0.0872,76,13,0.1711,73,0,0.0,플랫폼·호스트 수익화와 가격 부담
safety_trust,안전·신뢰,early_2021_2022,724,35,0.0483,165,25,0.1515,559,10,0.0179,환불·취소·신원·신고·지원 대응에 관한 신뢰 문제
safety_trust,안전·신뢰,middle_2023_2024,327,24,0.0734,100,17,0.17,227,7,0.0308,환불·취소·신원·신고·지원 대응에 관한 신뢰 문제
safety_trust,안전·신뢰,recent_2025_2026,149,22,0.1477,76,21,0.2763,73,1,0.0137,환불·취소·신원·신고·지원 대응에 관한 신뢰 문제
exit_behavior,이탈행동,early_2021_2022,724,39,0.0539,165,26,0.1576,559,13,0.0233,앱 삭제·탈퇴·비사용·대체 서비스 언급; 타인에게 권고한 표현도 일부 포함 가능
exit_behavior,이탈행동,middle_2023_2024,327,18,0.055,100,11,0.11,227,7,0.0308,앱 삭제·탈퇴·비사용·대체 서비스 언급; 타인에게 권고한 표현도 일부 포함 가능
exit_behavior,이탈행동,recent_2025_2026,149,15,0.1007,76,11,0.1447,73,4,0.0548,앱 삭제·탈퇴·비사용·대체 서비스 언급; 타인에게 권고한 표현도 일부 포함 가능
positive_hobby,긍정 취미 경험,early_2021_2022,724,210,0.2901,165,3,0.0182,559,207,0.3703,취미·관계 경험을 긍정적으로 평가한 표현
positive_hobby,긍정 취미 경험,middle_2023_2024,327,68,0.208,100,3,0.03,227,65,0.2863,취미·관계 경험을 긍정적으로 평가한 표현
positive_hobby,긍정 취미 경험,recent_2025_2026,149,37,0.2483,76,5,0.0658,73,32,0.4384,취미·관계 경험을 긍정적으로 평가한 표현
