sample_id,review_date_utc,rating,review_title,review_text,theme_ids,theme_names,coding_status,source_scope
ASR001,2025-06-28T04:38:28-07:00,5,클럽 모임을 두 개이상 만들고 싶은데요,하나밖에 못 만들어서 아쉽습니다.,H01,호스트 개설·운영 조건,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR002,2025-06-25T18:18:59-07:00,1,장애인같은 운영방식,신고 지들 ㅈ대로 받고 정정도 안해 납득도 못시켜 걍 안써 병신들아ㅠ,C06|R02,규칙 집행과 제재|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR003,2025-06-15T17:33:14-07:00,1,너무 변질되었네요 초기멤버였고 탈퇴하다 재가입했어요,이걸 보실지 모르겠지만 혹시몰라 다시가입해봤어요. 문토 초기느낌이 됐을까봐인데 역시나더라구요..기본 2-3만원부터 시작해서 들어가는비용도 엄청 가격도 세고 보시면 알겠지만 거의 다 이름만 “포틀럭파티”인 소개팅파티에요. 아닌데도있지만 독서 나 무료로 같이 카페만 가는 그런 모임도 거의 없더라구요. 문토는 그 재미였었는데말이죠. 다 사주니 뭐니 강의니 뭐니 하며 어딘지모를 곳만 올라오고 물론 그게 취미인분도 있겠지만 자연스럽고 깨끗한 모임은 이제 없는것같네요. 후기도 보면 아시겠지만 호스트분들도 제가 주변에 들은바로는 이상한분들도 많더라구요? 자기맘에안들면 온도테러하거나 차단해버리는. 이걸 체계를 좀 만들던가 관리를해줘야되는데 그런것도 아닌것같구요.. 그래서 몇번보자마자 그냥 탈퇴했어요. 많이변질됐어요. 진짜 아쉽네요. 여기만은 아니길바랬는데.. 고인것같으면 관리를 해야되는데.. 같이 영화보면서 헤어지거나 순전히 카페가는 모임은 눈씻고봐도없고. 기본적으로 참가비는 2만원이 최소고,C12|C09|C07|C16|R02,특정 목적 과다 노출|가격·수수료 대비 가치|호스트·참여자·정보 신뢰|모임 선택 폭|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR004,2025-06-14T17:52:30-07:00,1,구매하는 거였다면 앱을 받지 않았을 거예요,광고가 떠서 들어왔는데 다운을 받으니 결제가 됐어요 어떻게하면 환불을 받을 수 있을까요?,C04,환불 기준과 비용 책임,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR005,2025-06-13T19:21:34-07:00,2,소셜링 검색 기능 불편,소셜링 검색했을 때 참석자 프로필 사진들 보일 때가 편하고 좋았어요. 마감된 모임은 검색 안되게 바뀌어서 빈자리 알림받기도 못하네요. 요즘 갈만한 소규모 소셜링도 거의 없고 찾기 힘들어서 잘 안쓰게 돼요.,C14|C16|R02,필터·검색·발견|모임 선택 폭|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR006,2025-06-11T20:18:21-07:00,3,제 번호호 다른 사람이 가입을 했네요,제 번호로,C07,호스트·참여자·정보 신뢰,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR007,2025-06-08T13:56:40-07:00,3,천안주말필터했는데,모임 하나도 안나와요..,C15,지역별 공급·장소,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR008,2025-05-21T18:48:26-07:00,1,별 한개도 아깝다,"고객센터 운영 안하고 호스트 관리도 안됨.

파라솔도 없이 야외 소셜링 진행

30분 동안 20-30명 인원이 비 맞으며 대기

미안하단 말도 없고 타 소셜링은 비싸서 서열정리 하겠다 라며 주둥이 터는 호스트 잼x

신발 바지 티 다 젖고 비는 계속 내릴 것 같고 30분 동안 비 맞으며 기다리다 열받아서 집 감.

다음날 리뷰 1점 줌. 그랬더니 계정 여러개 돌려서 온도 테러함.

소셜링 20번 이상은 한 것 같은데 최악의 경험을 마지막으로 앱 삭제함.",C05|C07|C08|R02,문의·문제 해결|호스트·참여자·정보 신뢰|참여 전 판단 단서|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR009,2025-05-20T07:10:18-07:00,1,로그인 오류 계속 발생,"카카오 로그인 계속 팅겨서 로그인 안되고
걱정되서 참여도 못 하겠고 어플 로그인 관리 좀요!",C01|R02,앱 오류·기능 실패|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR010,2025-05-15T07:18:16-07:00,1,카톡 로그인 안대요,카톡 로그인 시도 10번 넘게 했는데 계속 안됩니다,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR011,2025-05-14T07:33:53-07:00,4,로그인 에러,"카카오톡 연결이 안됩니다ㅜ
카톡에서 창이 안떠요",C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR012,2025-04-26T03:10:34-07:00,3,좋아요,"소모임이나 대모임 만나기에 좋지만 한가지 업데이트 할 만한 사항이 있었으면 해요!
프로필 사진을 확대할 수 있는 기능이 있었으면 좋겠습니다!",C02|V03,앱 사용 편의와 정보 표현|잘 맞는 사람·관계 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR013,2025-04-20T02:32:14-07:00,5,너무재밌어요...,문자올때 두번씩 알람뜨는데 수정좀해주세요 무서워요 같은메시지 한개보내면 알람 두개씩 떠요 지방에서 올라와서 처음 문토해봤는데 신기하고 재밌고 취미같은 사람끼리 만날수도있어서 좋네요 ㅎㅎ,C01|V01|V03,앱 오류·기능 실패|함께하는 취미 활동 가치|잘 맞는 사람·관계 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR014,2025-04-18T00:33:49-07:00,1,네,좋네요,,,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR015,2025-04-15T02:38:02-07:00,5,너무 재밋었어용,시간가는줄모르고 떠들다 갑니다 ❤️🫶,V03,잘 맞는 사람·관계 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR016,2025-04-13T08:35:29-07:00,3,프로필 사진 변경이 안되요.,프사 변경하려고 하면 에러메시지가 뜨네요,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR017,2025-04-12T20:56:03-07:00,5,추천하지만 조금 개성이 필요한,"다른 앱처럼 생년일 표시하고, 본인 소셜 클럽을 첫 화면에서 바로 찾을 수 있게 표시해주세요, 소셜링 열릴때 참석 구성원을 볼 수 있게 표시해주세요",C02|C08,앱 사용 편의와 정보 표현|참여 전 판단 단서,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR018,2025-04-07T06:13:18-07:00,1,일회성 어플. 책임과 피해는 개인에게..,"매너점수? 평점을 메기는 방식으로 인해 가식이 난무하는 곳. 지능은 탈출순인거 같다.
평점이 높으신 고인물들을 특히 조심하길..

연대나 소속감 따위는 느낄수 없는
개인들의 욕구만 채우는 곳임.

취미를 빌미로 터무니 없는 금액을 요구하는 장사꾼들이 판치고 선택지가 없는 개개인은 이용 당하거나 탈퇴하거나 2개 옵션뿐임.

플랫폼은 수수료만 챙기는 듯하고
무엇보다 위험한 소셜링에 대한 권고나 안내 가이드라인 없이 지속성을 갖을수 있을까?

본인의 선택에 신중을 기하시길..
다른 플랫폼 옵션도 고려해 보시길..",C06|C08|C09|C10|R02,규칙 집행과 제재|참여 전 판단 단서|가격·수수료 대비 가치|수익 구조와 상업화 인식|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR019,2025-04-07T01:09:47-07:00,5,너무 즐거웠어요,비용도 합리적이고 재밌었습니다,C09|V01,가격·수수료 대비 가치|함께하는 취미 활동 가치,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR020,2025-04-03T18:24:55-07:00,3,어플 시스템 좀 고쳐주세요..,글 작성할때마다 렉 걸리고 사진 로딩하는데 한세월이고 다 썼는데 튕기고 정말 화딱지나요 •••,C01,앱 오류·기능 실패,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR021,2025-03-30T22:43:31-07:00,1,채팅 감시?,"문토 채팅 외 타 채팅 서비스 이용 신고확인 및 벌점 2점 부과"" 문자로 안내를 받았는데 문토 채팅 내에서 오픈채팅을 언급한 게 이유인 것 같네요. 클럽 멤버는 나 포함 두 명뿐이고 상대방은 이미 오픈채팅에 들어왔으니 신고했을 리가 없고요. 문토 측에서 유저들 채팅 데이터 멋대로 모니터링하고 있는 건가요?
솔직히 타 플랫폼을 함께 쓴다고 벌점을 부과하는 건.. B2B에서도 납득하기 어려운 걸 B2C 에 이런 방식이라니.. 어질어질하네요. 경쟁 플랫폼을 견제하는 건 이해하지만 이런 방식은 사용자 경험만 해치는 일 아닌가요? 본인들 서비스가 부족하다는데, 고객 통제로 해결될 일도 아니고. 통제하고 감시할 시간에 본인들 서비스를 어떻게 더 매력적으로 잘 쓸 수 있을까에 대한 고민을 해보셨으면 좋겠네요.",C06,규칙 집행과 제재,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR022,2025-03-01T21:40:04-07:00,1,사이비 조심하세요,지독한 신천지 ;;; 진짜 ㄱ .. ㅐ 같네요;^^,C07,호스트·참여자·정보 신뢰,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR023,2025-02-02T02:08:22-07:00,1,몇달간 써본 후기,"장점: 사람들 많다, 모임 날마다 열림
단점: 90%가 개념, 인성 부족하고 무례한 사람들, 굉장히 상업적
결론: 탈퇴했음",C07|C10|C16|R02,호스트·참여자·정보 신뢰|수익 구조와 상업화 인식|모임 선택 폭|이용 중단·외부 이동,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
ASR024,2025-01-20T21:47:42-07:00,5,구매내역 삭제 부탁드립니다.,감사합니다.,C02,앱 사용 편의와 정보 표현,independent_review_level_second_pass,app_store_2024_04_to_2025_06_only
