corpus_id,review_id,cohort,rating,inclusion_status,special_flag,exclusion_reason,screening_note
CUR001,357b40a5-20de-447e-adbf-25e7d2e14a02,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR002,86e5dfe1-1240-43ea-99a3-bcba6eca0dfe,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR003,ce5762be-e613-4f41-9141-8164afb917cb,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR004,ef94cc17-cf9f-4c9d-be2f-221ceb1c6886,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR005,966cc98c-4f06-4873-912d-4b1944f36eb1,other_recent_months,2,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR006,2bc81a1c-2283-40d1-939b-65fc9e7898b3,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR007,e7a8f75f-fb2d-4db0-945c-eb7e903c6da1,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR008,15495d89-25b1-45b7-8bde-c40ca69096bb,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR009,20071773-0802-4d17-b2ff-1f283d43616a,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR010,d16f5cd2-dc83-4234-8962-73b4a562f72c,other_recent_months,5,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR011,d42e4ae1-c8dc-451e-8162-58759d03eaff,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR012,5d66fe74-1221-4367-a01a-dce8e780f231,other_recent_months,3,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR013,c915571a-d7a5-4431-8d4f-aad3717f2196,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR014,7539e4bd-4744-4017-99d8-e28f5dc1a91d,other_recent_months,4,include,,,근거 구체성은 의미 단위 카드별로 판정
CUR015,84c2c886-b7b8-463f-b76b-fbc15cf889d2,other_recent_months,1,include,,,근거 구체성은 의미 단위 카드별로 판정
