card_id,source_type,source_id,utterance_id,event_or_publish_date,collected_date,period_bucket,platform,source_url,rating,verbatim_excerpt,paraphrase,context,trigger_signal,behavior,outcome,alternative_service,primary_tag,secondary_tag,sentiment,evidence_type,evidence_strength,dedupe_key,cluster_id,need_statement,researcher_memo,pii_removed,coder,coding_status
Q003,blog,S003,B003-A,2024-05-27,2026-07-30,middle,Tistory,https://abk99.tistory.com/entry/%EC%B2%98%EC%9D%8C-%EC%8D%A8%EB%B3%B8-%EB%AC%B8%ED%86%A0-%ED%9B%84%EA%B8%B0-%EC%83%9D%EA%B0%81%EB%B3%B4%EB%8B%A4-%EB%82%98%EC%81%98%EC%A7%80-%EC%95%8A%EC%95%98%EB%8D%98-%ED%95%9C%EA%B0%95-%ED%94%BC%ED%81%AC%EB%8B%89-%EC%86%8C%EC%85%9C%EB%A7%81,,,피크닉의 음악과 휴식이라는 주제에 집중해 만족했다고 설명했다.,한강 피크닉 참여,주제가 자신의 목적과 일치함,활동에 집중함,만족스러운 경험,,긍정·반례,경험품질,positive,outcome,medium,tistory-20240527-topic,,,취미 목적이 충족된 반례로 보존,Y,Codex,coded
Q004,blog,S003,B003-B,2024-05-27,2026-07-30,middle,Tistory,https://abk99.tistory.com/entry/%EC%B2%98%EC%9D%8C-%EC%8D%A8%EB%B3%B8-%EB%AC%B8%ED%86%A0-%ED%9B%84%EA%B8%B0-%EC%83%9D%EA%B0%81%EB%B3%B4%EB%8B%A4-%EB%82%98%EC%81%98%EC%A7%80-%EC%95%8A%EC%95%98%EB%8D%98-%ED%95%9C%EA%B0%95-%ED%94%BC%ED%81%AC%EB%8B%89-%EC%86%8C%EC%85%9C%EB%A7%81,,,같은 모임 안에서도 연애나 주목받기 등 서로 다른 참여 목적이 있을 수 있다고 관찰했다.,피크닉 참여 중 다른 참가자 관찰,활동과 다른 참여 목적을 감지함,목적 차이를 평가함,파티·소개팅 모임과 구분이 필요하다고 판단,,기대불일치,숨은만남신호,mixed,observed_signal,medium,tistory-20240527-purpose,,,관찰자의 해석이며 다른 참가자의 실제 의도는 확인되지 않음,Y,Codex,coded
Q005,blog,S003,B003-C,2024-05-27,2026-07-30,middle,Tistory,https://abk99.tistory.com/entry/%EC%B2%98%EC%9D%8C-%EC%8D%A8%EB%B3%B8-%EB%AC%B8%ED%86%A0-%ED%9B%84%EA%B8%B0-%EC%83%9D%EA%B0%81%EB%B3%B4%EB%8B%A4-%EB%82%98%EC%81%98%EC%A7%80-%EC%95%8A%EC%95%98%EB%8D%98-%ED%95%9C%EA%B0%95-%ED%94%BC%ED%81%AC%EB%8B%89-%EC%86%8C%EC%85%9C%EB%A7%81,,,새로운 사람을 만나는 데 에너지가 많이 들어 한 번의 경험으로 충분하다고 판단했다.,만족스러운 피크닉 참여 후,낯선 사람과의 상호작용 비용,추가 사용을 고려함,장기 이용 의향이 낮아짐,,이탈행동,경험품질,mixed,behavior,high,tistory-20240527-energy,,,만남 목적 오염과 다른 이탈 원인이라는 반례,Y,Codex,coded
Q006,blog,S002,B002-A,2025-03-13,2026-07-30,recent,Tistory,https://news0858.tistory.com/8,,,상세 설명이 충분해 신청 전에 모임 분위기를 예상할 수 있었다고 평가했다.,와인 클래스 신청,구체적인 상세 설명,신청을 결정함,기대와 실제 분위기의 일치,,긍정·반례,안전·신뢰,positive,observed_signal,medium,tistory-20250313-description,,,출처의 홍보성 가능성을 고려해 증거 강도 중간,Y,Codex,coded
Q007,blog,S002,B002-B,2025-03-13,2026-07-30,recent,Tistory,https://news0858.tistory.com/8,,,전문 호스트의 체계적인 와인 설명 때문에 활동 만족도가 높았다고 평가했다.,와인 클래스 참여,전문 진행과 커리큘럼,활동에 참여함,취미 학습 목적 충족,,긍정·반례,경험품질,positive,outcome,medium,tistory-20250313-curriculum,,,취미 중심 상품의 긍정 사례,Y,Codex,coded
Q008,blog,S002,B002-C,2025-03-13,2026-07-30,recent,Tistory,https://news0858.tistory.com/8,,,무료 모임을 찾는 사용자에게 참가 비용이 부담이 될 수 있다고 지적했다.,유료 소셜링 평가,유료 참가 구조,비용을 비교함,참여 장벽 가능성,,경험품질,이탈행동,negative,perception,low,tistory-20250313-cost,,,본인의 이탈 행동이 아닌 일반적 평가,Y,Codex,coded
Q009,product_analysis,S005,D005-A,2022,2026-07-30,early,Disquiet,https://disquiet.io/articles/DMsLxP,,,참여자 프로필의 관심사와 참여 이력이 낯선 사람을 만나는 경계심을 낮췄다고 설명했다.,초기 문토 사용,참여자 관심사와 이력 확인,모임 참여를 진행함,신뢰와 심리적 안전감 증가,,긍정·반례,안전·신뢰,positive,observed_signal,medium,disquiet-2022-profile,,,초기 서비스 경험이라 최근 구조와 다를 수 있음,Y,Codex,coded
Q010,product_analysis,S005,D005-B,2022,2026-07-30,early,Disquiet,https://disquiet.io/articles/DMsLxP,,,채팅방 참여 후 연령대와 분위기가 맞지 않는다고 판단해 모임을 취소했다.,신청 후 채팅방 확인,연령대와 분위기 불일치,참여를 취소함,부적합한 모임을 회피함,,이탈행동,기대불일치,mixed,behavior,high,disquiet-2022-cancel,,,목록 단계가 아니라 신청 후 판단한 사례,Y,Codex,coded
Q011,product_analysis,S005,D005-C,2022,2026-07-30,early,Disquiet,https://disquiet.io/articles/DMsLxP,,,취미 크루를 얻은 긍정 경험 때문에 자주 쓰지 않아도 앱을 삭제하지 않겠다고 했다.,소셜링 참여 후,지속되는 취미 관계 형성,앱을 유지함,재사용 가능성을 남김,,긍정·반례,이탈행동,positive,outcome,medium,disquiet-2022-retain,,,초기 시점의 유지 요인,Y,Codex,coded
AS001,app_review,S006,12817594399-1,2025-06-25,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,신고 지들 ㅈ대로 받고 정정도 안해 납득도 못시켜,신고 접수와 정정 기준을 납득할 수 없었다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,신고 지들 ㅈ대로 받고 정정도 안해 납득도 못시켜,운영 판단에 이의를 제기,플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,perception,medium,appstore-12817594399-안전·신뢰-1,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS002,app_review,S006,12817594399-2,2025-06-25,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,걍 안써,운영 대응에 불만을 느껴 더 이상 사용하지 않겠다고 밝혔다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,걍 안써,이용 중단,재이용 의향 상실,,이탈행동,안전·신뢰,negative,behavior,high,appstore-12817594399-이탈행동-2,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS003,app_review,S006,12779255589-1,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,거의 다 이름만 ‘포틀럭파티’인 소개팅파티에요,표면 명칭과 달리 다수 모임이 소개팅 파티라고 판단했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,거의 다 이름만 ‘포틀럭파티’인 소개팅파티에요,모임 목록의 실제 목적을 평가,취미 중심 서비스 기대 약화,,숨은만남신호,기대불일치,negative,observed_signal,high,appstore-12779255589-숨은만남신호-3,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS004,app_review,S006,12779255589-2,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,독서나 무료로 같이 카페만 가는 그런 모임도 거의 없더라구요,독서·카페 같은 자연스러운 취미 모임을 찾기 어렵다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,독서나 무료로 같이 카페만 가는 그런 모임도 거의 없더라구요,원하는 취미 모임을 탐색,선택지 부족과 탐색 비용 증가,,탐색피로,기대불일치,negative,outcome,high,appstore-12779255589-탐색피로-4,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS005,app_review,S006,12779255589-3,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,기본 2-3만원부터 시작해서 들어가는 비용도 엄청 가격도 세고,기본 참가비와 판매형 모임이 많아졌다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,기본 2-3만원부터 시작해서 들어가는 비용도 엄청 가격도 세고,비용과 상품 구성을 비교,자연스러운 모임의 참여 장벽 증가,,호스트상업화,경험품질,negative,perception,medium,appstore-12779255589-호스트상업화-5,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS006,app_review,S006,12779255589-4,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,자기맘에안들면 온도테러하거나 차단해버리는,호스트가 평점과 차단을 자의적으로 사용할 수 있다고 우려했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,자기맘에안들면 온도테러하거나 차단해버리는,호스트 운영을 평가,호스트와 평점 체계에 대한 불신,,안전·신뢰,호스트상업화,negative,perception,low,appstore-12779255589-안전·신뢰-6,,,주변에서 들었다는 간접 경험이므로 증거 강도를 낮춤 동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS007,app_review,S006,12779255589-5,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,몇번보자마자 그냥 탈퇴했어요,재가입 후 목록을 확인했지만 기대와 달라 다시 탈퇴했다고 밝혔다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,몇번보자마자 그냥 탈퇴했어요,재가입 후 탈퇴,서비스 이탈,,이탈행동,기대불일치,negative,behavior,high,appstore-12779255589-이탈행동-7,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
