corpus_id,inclusion_status,evidence_specificity,exclusion_reason,screening_note
CUR047,include,low,,"다른 서비스보다 '깔끔하고 정상적인 사람'을 만났다는 비교 인식; 해당 표현의 판단 기준은 확인되지 않음"
CUR026,include,low,,"채팅 사용성 불편은 상세 원인 미상; 다양한 활동 경험은 긍정 가치로 별도 카드화 가능"
CUR019,include,low,,"취미생활이 더 재미있고 보람 있었다는 서비스 가치 인식"
CUR041,include,medium,,"좋은 사람을 만나 즐거운 추억을 쌓았다는 관계 가치와 긍정 결과"
CUR045,include,medium,,"같은 취미·맞는 취향의 구성원과 대화가 잘 이어졌다는 조건-결과 연결"
CUR039,include,high,,"다른 모임과 파티 모임을 구분하고 성비·비용·음식·음료 경험을 구체적으로 서술"
CUR054,include,high,,"공통 관심사와 대화 부담·공감대 형성의 연결을 구체적으로 서술"
CUR055,include,high,,"특정 강연 참여와 자기 인식·개선 방향이라는 결과가 연결됨"
CUR051,include,medium,,"활동 참여·친구 형성·향후 이용 의향이 연결됨"
CUR044,include,high,,"서울 이주 후 관계 부족이라는 상황에서 모임 참여와 친구 형성 결과가 연결됨"
CUR005,include,high,,"반복 당일 취소·전화번호 요구·활동 사진에 관한 구체적 경험을 서술"
CUR102,include,high,,"파티 구성·환불 조건·비용 부담을 구체적으로 서술; 환불 정책과 호스트 동기를 연결한 부분은 작성자의 해석으로 표시"
CUR105,include,high,,"탐색·외부 이동·채팅 오류·알림·고객센터 등 복수의 구체적 접점이 있음"
CUR069,include,medium,,"무료 보드게임 모임 개설 후 계정 정지를 당한 사건은 구체적이나 정지 과정은 확인되지 않음"
CUR091,include,high,,"리뷰 이벤트 참여를 직접 밝혔으므로 event_declared 플래그를 붙여 일반 리뷰와 분리"
CUR110,include,high,,"스태프가 참여자로 표시된다는 관찰과 제재 니즈가 연결됨"
CUR079,include,high,,"유료 참여·호스트 경험·첫 모임·재방문 사례가 구체적; 다른 멤버의 경험은 전언으로 분리"
CUR062,include,high,,"지출액·유료 모임·추천 사용자 상태·사탕 소모 경험이 구체적"
CUR084,include,high,,"지역 공급 부족으로 서울 모임에 참여한 행동과 연애 주제 모임의 긍정 경험이 구체적"
CUR113,include,high,,"카테고리 복수 선택 불가와 탐색 곤란·개선 니즈가 직접 연결됨"
