card_id,source_type,source_id,utterance_id,event_or_publish_date,collected_date,period_bucket,platform,source_url,rating,verbatim_excerpt,paraphrase,context,trigger_signal,behavior,outcome,alternative_service,primary_tag,secondary_tag,sentiment,evidence_type,evidence_strength,dedupe_key,cluster_id,need_statement,researcher_memo,pii_removed,coder,coding_status
AS001,app_review,S006,12817594399-1,2025-06-25,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,신고 지들 ㅈ대로 받고 정정도 안해 납득도 못시켜,신고 접수와 정정 기준을 납득할 수 없었다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,신고 지들 ㅈ대로 받고 정정도 안해 납득도 못시켜,운영 판단에 이의를 제기,플랫폼 신뢰 저하,,안전·신뢰,경험품질,negative,perception,medium,appstore-12817594399-안전·신뢰-1,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS002,app_review,S006,12817594399-2,2025-06-25,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,걍 안써,운영 대응에 불만을 느껴 더 이상 사용하지 않겠다고 밝혔다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,걍 안써,이용 중단,재이용 의향 상실,,이탈행동,안전·신뢰,negative,behavior,high,appstore-12817594399-이탈행동-2,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS003,app_review,S006,12779255589-1,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,거의 다 이름만 ‘포틀럭파티’인 소개팅파티에요,표면 명칭과 달리 다수 모임이 소개팅 파티라고 판단했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,거의 다 이름만 ‘포틀럭파티’인 소개팅파티에요,모임 목록의 실제 목적을 평가,취미 중심 서비스 기대 약화,,숨은만남신호,기대불일치,negative,observed_signal,high,appstore-12779255589-숨은만남신호-3,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS004,app_review,S006,12779255589-2,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,독서나 무료로 같이 카페만 가는 그런 모임도 거의 없더라구요,독서·카페 같은 자연스러운 취미 모임을 찾기 어렵다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,독서나 무료로 같이 카페만 가는 그런 모임도 거의 없더라구요,원하는 취미 모임을 탐색,선택지 부족과 탐색 비용 증가,,탐색피로,기대불일치,negative,outcome,high,appstore-12779255589-탐색피로-4,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS005,app_review,S006,12779255589-3,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,기본 2-3만원부터 시작해서 들어가는 비용도 엄청 가격도 세고,기본 참가비와 판매형 모임이 많아졌다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,기본 2-3만원부터 시작해서 들어가는 비용도 엄청 가격도 세고,비용과 상품 구성을 비교,자연스러운 모임의 참여 장벽 증가,,호스트상업화,경험품질,negative,perception,medium,appstore-12779255589-호스트상업화-5,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS006,app_review,S006,12779255589-4,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,자기맘에안들면 온도테러하거나 차단해버리는,호스트가 평점과 차단을 자의적으로 사용할 수 있다고 우려했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,자기맘에안들면 온도테러하거나 차단해버리는,호스트 운영을 평가,호스트와 평점 체계에 대한 불신,,안전·신뢰,호스트상업화,negative,perception,low,appstore-12779255589-안전·신뢰-6,,,주변에서 들었다는 간접 경험이므로 증거 강도를 낮춤 동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS007,app_review,S006,12779255589-5,2025-06-15,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,몇번보자마자 그냥 탈퇴했어요,재가입 후 목록을 확인했지만 기대와 달라 다시 탈퇴했다고 밝혔다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,몇번보자마자 그냥 탈퇴했어요,재가입 후 탈퇴,서비스 이탈,,이탈행동,기대불일치,negative,behavior,high,appstore-12779255589-이탈행동-7,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS008,app_review,S006,12775350030-1,2025-06-14,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,1,다운을 받으니 결제가 됐어요 어떻게하면 환불을 받을 수 있을까요?,앱 설치 뒤 예상하지 못한 결제가 발생했다고 인식하고 환불 경로를 찾았다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,다운을 받으니 결제가 됐어요 어떻게하면 환불을 받을 수 있을까요?,환불 방법 문의,결제 신뢰와 통제감 저하,,안전·신뢰,경험품질,negative,outcome,medium,appstore-12775350030-안전·신뢰-8,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS009,app_review,S006,12771672470-1,2025-06-13,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,2,참석자 프로필 사진들 보일 때가 편하고 좋았어요,참석자 정보를 미리 볼 수 있었던 과거 탐색 방식이 판단에 도움이 됐다고 평가했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,참석자 프로필 사진들 보일 때가 편하고 좋았어요,참석자 정보를 확인,참여 판단의 확신 증가,,긍정·반례,안전·신뢰,mixed,outcome,medium,appstore-12771672470-긍정·반례-9,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
AS010,app_review,S006,12771672470-2,2025-06-13,2026-07-30,recent,Apple App Store,https://apps.apple.com/kr/app/id1535886772,2,갈만한 소규모 소셜링도 거의 없고 찾기 힘들어서,참여할 만한 소규모 모임의 공급과 발견 가능성이 낮다고 보고했다.,Apple App Store 공개 리뷰에서 문토 이용 경험을 회고함,갈만한 소규모 소셜링도 거의 없고 찾기 힘들어서,소규모 모임을 탐색,선택지 부족과 탐색 비용 증가,,탐색피로,경험품질,negative,outcome,high,appstore-12771672470-탐색피로-10,,,동일 AI의 원문 수기 검토; 독립 사람 코더 검증 아님.,Y,Codex(AI 원문 수기 검토),verified
