card_id,corpus_id,source_span,draft_card,card_role,evidence_specificity,evidence_scope,split_reason,researcher_note
RC001,CUR001,신청한 모임 시간 다 돼가는데 승인이 안 돼서 호스트 문의하려고 했더니 문의가 안 됨,모임 시간이 임박했는데 승인이 되지 않았고 호스트에게 문의할 수도 없었다.,problem,high,firsthand,승인 지연과 문의 불가가 한 행동 흐름으로 연결됨,
RC002,CUR001,이런 경우 환불이 되는지도 모르겠음,승인되지 않은 모임의 환불 가능 여부를 알 수 없었다.,uncertainty,high,firsthand,문의 실패와 별개로 사용자가 확인하지 못한 정보,
RC003,CUR002,전화번호 뒷자리 요구하고 항상 당일취소 당하네요,전화번호 뒷자리를 요구받은 뒤 당일 취소를 반복해서 경험했다고 밝혔다.,problem,high,firsthand,정보 요구와 당일 취소가 원문에서 하나의 반복 경험으로 연결됨,요구와 취소의 실제 인과관계는 확인되지 않음
RC004,CUR002,앱 사용하면서 5번정도 소셜링 신청했는데 모임 진행된적이 단 한 번도 없어요,소셜링을 약 5회 신청했지만 실제로 진행된 모임이 한 번도 없었다.,outcome,high,firsthand,반복 신청의 누적 결과,
RC005,CUR003,갠톡이 굉장히 늦게 오고,개인 채팅 메시지가 늦게 도착했다.,problem,medium,firsthand,메시지 지연과 알림 중복은 서로 다른 기능 현상,지연 시간은 확인되지 않음
RC006,CUR003,알림이 여러번 뜨는 등 버그가 많아요,같은 알림이 여러 번 표시됐다.,problem,high,firsthand,메시지 지연과 알림 중복은 서로 다른 기능 현상,
RC007,CUR004,호스트들끼리 자기네들 마음에 안드는 참여자 있으면 시비거리 만들어서 쫒아내고,작성자는 호스트들이 마음에 들지 않는 참여자를 몰아내는 일이 있다고 인식했다.,perception,medium,scope_unclear,호스트 행동에 대한 하나의 인식,작성자의 직접 피해인지 관찰·전언인지 확인되지 않음
RC008,CUR004,호스트들끼리 맘에 안드는 참여자에 대해 블랙리스트 공유로 모임활동 방해,작성자는 호스트들이 참여자 블랙리스트를 공유해 모임 활동을 방해한다고 인식했다.,perception,medium,scope_unclear,퇴출 행동과 별개의 정보 공유·재참여 문제,블랙리스트의 실제 존재와 범위는 확인되지 않음
RC009,CUR004,참여자들에 대한 보호규정은 더 강화하고 지켜줘야 될 필요가 있으며,참여자를 보호하는 규정이 강화되기를 원했다.,need,medium,perception,호스트 제재 요구와 구분되는 참여자 보호 니즈,
RC010,CUR004,모든 호스트들은 더 숨막힐 정도로 엄격하게 처리하고,호스트의 문제 행동에 더 엄격한 제재가 적용되기를 원했다.,need,medium,perception,참여자 보호와 구분되는 제재 니즈,제재 강도의 타당성은 별도 정책 검토 대상
RC011,CUR005,소셜링이 전부 다 당일파토가 나고 있으며,대전 지역에서 확인한 소셜링이 모두 당일 취소됐다고 밝혔다.,problem,medium,firsthand,지역 맥락이 포함된 반복 취소 인식,확인한 소셜링의 전체 수는 제시되지 않음
RC012,CUR005,주회하는 사람들 대부분이 전화번호등을 요구하면서 당일파토내는 경우가 진짜 많습니다,주최자가 전화번호 등을 요구한 뒤 당일 취소하는 사례를 여러 번 경험했다고 밝혔다.,problem,medium,firsthand,정보 요구와 취소가 원문에서 하나의 반복 경험으로 연결됨,요구와 취소의 인과관계는 확인되지 않음
RC013,CUR005,클럽은 방장이 하지도 않은 소셜링 한 것처럼 사진만들어서 올리구 있구요,클럽 운영자가 진행하지 않은 소셜링을 진행한 것처럼 사진을 게시했다고 밝혔다.,problem,medium,scope_unclear,취소 문제와 별개의 활동 이력 신뢰 문제,작성자가 사실 여부를 어떻게 확인했는지는 알 수 없음
