card_id,corpus_id,review_id,cohort,rating,unit_index,source_span,card_text,card_role,evidence_specificity,evidence_scope,cluster_candidate,cluster_candidate_name,cluster_tie,special_flag,review_status
OCR001,CUR001,357b40a5-20de-447e-adbf-25e7d2e14a02,other_recent_months,1,1,신청한 모임 시간 다 돼가는데 승인이 안 돼서 호스트 문의하려고 했더니 문의가 안 됨,모임 시간이 다 되어가는데 승인이 되지 않았고 호스트에게 문의할 수도 없었다.,problem|behavior,high,firsthand_or_direct_claim,P02,취소·환불·문의 해결,N,,first_pass_unverified
OCR002,CUR001,357b40a5-20de-447e-adbf-25e7d2e14a02,other_recent_months,1,2,이런 경우 환불이 되는지도 모르겠음,승인되지 않은 모임의 환불 가능 여부를 알 수 없었다.,problem,medium,firsthand_or_direct_claim,P02,취소·환불·문의 해결,N,,first_pass_unverified
OCR003,CUR002,86e5dfe1-1240-43ea-99a3-bcba6eca0dfe,other_recent_months,1,1,전화번호 뒷자리 요구하고,대전권 소셜링에서 전화번호 뒷자리를 요구받았다.,perception,high,firsthand_or_direct_claim,P03,규칙·제재·신뢰,N,,first_pass_unverified
OCR004,CUR002,86e5dfe1-1240-43ea-99a3-bcba6eca0dfe,other_recent_months,1,2,항상 당일취소 당하네요 앱 사용하면서 5번정도 소셜링 신청했는데 모임 진행된적이 단 한 번도 없어요,대전권에서 소셜링을 약 5번 신청했지만 당일 취소가 반복돼 실제 진행된 모임이 한 번도 없었다.,problem|behavior|outcome,high,firsthand_or_direct_claim,P02,취소·환불·문의 해결,N,,first_pass_unverified
OCR005,CUR003,ce5762be-e613-4f41-9141-8164afb917cb,other_recent_months,1,1,갠톡이 굉장히 늦게 오고,개인 채팅 메시지가 늦게 도착했다.,problem,medium,firsthand_or_direct_claim,P01,앱 접근·기본 기능,N,,first_pass_unverified
OCR006,CUR003,ce5762be-e613-4f41-9141-8164afb917cb,other_recent_months,1,2,알림이 여러번 뜨는 등,같은 알림이 여러 번 표시됐다.,perception,high,firsthand_or_direct_claim,P01,앱 접근·기본 기능,N,,first_pass_unverified
OCR007,CUR004,ef94cc17-cf9f-4c9d-be2f-221ceb1c6886,other_recent_months,1,1,호스트들끼리 자기네들 마음에 안드는 참여자 있으면 시비거리 만들어서 쫒아내고,작성자는 호스트가 마음에 들지 않는 참여자를 모임에서 내보내는 일이 있다고 인식했다.,behavior,medium,perception,P03,규칙·제재·신뢰,N,,first_pass_unverified
OCR008,CUR004,ef94cc17-cf9f-4c9d-be2f-221ceb1c6886,other_recent_months,1,2,호스트들끼리 맘에 안드는 참여자에 대해 블랙리스트 공유로 모임활동 방해,작성자는 호스트들이 참여자 블랙리스트를 공유해 다른 모임 활동까지 방해한다고 인식했다.,behavior,medium,perception,P03,규칙·제재·신뢰,N,,first_pass_unverified
OCR009,CUR004,ef94cc17-cf9f-4c9d-be2f-221ceb1c6886,other_recent_months,1,3,참여자들에 대한 보호규정은 더 강화하고 지켜줘야 될 필요가 있으며 모든 호스트들은 더 숨막힐 정도로 엄격하게 처리하고,참여자 보호 규정을 강화하고 신고된 호스트에게 더 엄격한 제재를 적용하기를 원했다.,need|behavior,high,firsthand_or_direct_claim,P03,규칙·제재·신뢰,N,,first_pass_unverified
OCR010,CUR005,966cc98c-4f06-4873-912d-4b1944f36eb1,other_recent_months,2,1,소셜링이 전부 다 당일파토가 나고 있으며,대전권에서 확인한 소셜링이 당일 취소되는 일을 반복해서 경험했다고 밝혔다.,problem,medium,firsthand_or_direct_claim,P02,취소·환불·문의 해결,N,,first_pass_unverified
OCR011,CUR005,966cc98c-4f06-4873-912d-4b1944f36eb1,other_recent_months,2,2,주회하는 사람들 대부분이 전화번호등을 요구하면서,대전권 소셜링 주최자들이 전화번호 등을 요구했다고 밝혔다.,perception,high,firsthand_or_direct_claim,P03,규칙·제재·신뢰,N,,first_pass_unverified
